"phase","table","row_count","size_mb","landed"
"2","mcrinventtable","155351","71.91","True"
"2","inventmodelgroupitem","155351","69.13","True"
"2","inventitemgroupitem","155350","58.53","True"
"2","inventitembarcode","150686","91.90","True"
"2","ecoresstoragedimensiongroupproduct","144561","51.08","True"
"2","ecoresproductinstancevalue","141950","52.06","True"
"2","usvitemchargestable","138199","63.30","True"
"2","retailcusttable","136065","79.50","True"
"2","whscusttable","128816","63.43","True"
"2","mcrcusttable","127118","65.11","True"
"2","custbankaccount","77162","25.39","True"
"2","ecoresproductimage","58665","21.20","True"
"2","vendbankaccount","47674","19.35","True"
"2","vendtable","43768","36.79","True"
"2","bom","24638","11.67","True"
"2","usvwarehousepostaladdress","22100","14.70","True"
"2","whsworkuserwarehouse","15717","8.35","True"
"2","whsworkuser","11578","13.80","True"
"2","whsworker","10783","5.36","True"
"2","usvwarehousetransfersupplywarehouse","6192","2.35","True"
"2","pricediscadmtable","5269","3.78","True"
"2","ecoresproductrelationtable","4702","1.58","True"
"2","bomversion","4018","3.86","True"
"2","bomtable","3178","2.44","True"
"2","whslocationprofile","1480","1.26","True"
"2","inventlocation","1050","0.84","True"
"2","credmancreditlimitcustgroupline","784","0.45","True"
"2","vendgroup","751","0.45","True"
"2","mcrpickingwbwarehouseinfo","525","0.32","True"
"2","inventlocationlogisticslocationrole","389","0.26","True"
"2","inventlocationlogisticslocation","389","0.26","True"
"2","vendpaymmodetable","306","0.38","True"
"2","credmancreditlimitcustgroup","253","0.33","True"
"2","ecoresattribute","153","0.20","True"
"2","custpaymmodetable","148","0.20","True"
"2","ecoresattributetype","131","0.20","True"
"2","inventsite","113","0.20","True"
"2","usvproductexclusionbywhs","101","0.26","True"
"2","custgroup","82","0.21","True"
"2","inventitemgroup","81","0.20","True"
"2","custparameters","74","0.26","True"
"2","whsparameters","70","0.20","True"
"2","whsworkclasstable","27","0.20","True"
"2","whsworktemplatetable","25","0.20","True"
"2","customerinstancevalue","18","0.07","True"
"2","ecoresreferencevalue","11","0.07","True"
"2","usvacquisitiontable","8","0.07","True"
"2","custpaymmodespec","7","0.07","True"
"2","ecorescategoryhierarchy","4","0.07","True"
"2","ecoresstoragedimensiongroup","4","0.07","True"
"2","retailchanneltable","4","0.07","True"
"2","ecorescategoryhierarchyrole","3","0.07","True"
"2","ecoresproductrelationtype","2","0.07","True"
"2","retailmcrchanneltable","2","0.07","True"
"2","tmsloadbuildstrategyattribvalueset","1","0.07","True"
"2","usvdirpartypostaladdressstagingview","0","0","False"
"2","inventwarehousepostaladdressentity","0","0","False"
"2","whsworkusersessionlog","0","0.00","True"
"2","guppricetreeinstancevalue","0","0.00","True"
"2","usvaiscustomerlookupbyorgnumsegmentstagingview","0","0","False"
"2","usvlogisticscontactinfostagingview","0","0","False"
